sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,20-2-2023_15:19:11:515631,paved,sudden-line-right,-0.7859669917522487,-0.052667863889361816,0.2761542852252379,-0.01676989473196518,0.005883333342475845,0.016233964796612918,0.8333335934073819,0.7499999474103731,0.4285712328555524,0
2,20-2-2023_15:19:11:882325,paved,sudden-line-right,-0.6647947706196871,-0.1879069555078854,0.3968279704070594,-0.009253801660858263,0.01038476073844023,0.014428643097541844,0.8333335934073819,0.7499999474103731,0.4285712328555524,0
3,20-2-2023_15:19:11:893441,paved,sudden-line-right,-0.8161907427938302,-0.04878467308650053,0.5514641569616876,-0.008211995244405811,0.024932382261127116,0.013922428395319129,0.5833335931515712,0.6249999737396715,0.5714280821388803,0
4,20-2-2023_15:19:11:901441,paved,sudden-line-right,-0.45969470840488563,0.03286521949144286,-0.15738105447007233,-0.013614500652217434,0.013307890896886485,0.008206393280250579,0.5833335931515712,0.6249999737396715,0.5714280821388803,0
5,20-2-2023_15:19:11:917440,paved,sudden-line-right,-0.6341426071949492,0.1646694120261592,-0.2327908803545095,-0.042765379895892304,-0.0003794122231071187,0.007404447502514047,0.6666664060809966,0.8749999737741565,0.5714280821388803,0
6,20-2-2023_15:19:11:917440,paved,sudden-line-right,-0.7511851710110163,0.039522513930922154,-0.7458879953387179,-0.06344051705699122,0.012791133568818468,0.01108083827574195,0.6666664060809966,0.8749999737741565,0.5714280821388803,0
7,20-2-2023_15:19:11:925440,paved,sudden-line-right,-0.5027980515659278,-0.8058352531102495,-0.6841933634246437,-0.055484576567890034,0.0038870447747942367,0.01425511132717507,0.49999999948837853,0.7499999474103731,0.4285712328555524,0
8,20-2-2023_15:19:11:933435,paved,sudden-line-right,-0.7646598608102873,-0.8919616866068705,-0.548422065425601,-0.032983713290340805,-0.00461450447463017,0.013146531252707611,0.49999999948837853,0.7499999474103731,0.4285712328555524,0
9,20-2-2023_15:19:11:941433,paved,sudden-line-right,-0.8401246254694219,-0.6684688002029253,-0.4928247048500402,-0.02071669686744232,-0.0032040296249176516,0.00920216392008002,0.6666664060809966,0.7499999474103731,0.7142856164277768,0
10,20-2-2023_15:19:11:989476,paved,sudden-line-right,-0.8747724223986353,-0.48136225344390055,0.12066833796824089,-0.018433871448197716,0.028428366184184196,0.010953687618203858,0.6666664060809966,0.7499999474103731,0.7142856164277768,0
11,20-2-2023_15:19:12:37424,paved,sudden-line-right,-0.917633198361864,-0.8397279161993353,0.7852368059939294,-0.024999762212913577,0.010142570587577442,0.014034387878766362,0.6666664060809966,0.7499999474103731,0.7142856164277768,0
12,20-2-2023_15:19:12:93465,paved,sudden-line-right,-0.34614569400449957,-1.0415198790130762,0.6646311421807587,-0.022527551757826756,0.0020564105058625427,0.019162125623540104,0.6666664060809966,0.7499999474103731,0.7142856164277768,0
13,20-2-2023_15:19:12:141460,paved,sudden-line-right,-0.21750842951170615,-1.1624001107939335,0.34449220136291575,-0.03567746736073364,0.011564191128111169,0.015649669931206596,0.5833335931515712,0.6249999737396715,0.4285712328555524,0
14,20-2-2023_15:19:12:197420,paved,sudden-line-right,-0.13509223867548825,-1.0840032004421662,-0.7820236157392404,-0.04578698630731833,-0.0022019821674734777,0.006262174870597475,0.5833335931515712,0.6249999737396715,0.4285712328555524,0
15,20-2-2023_15:19:12:253408,paved,sudden-line-right,-0.4127717366420338,-1.2574509451451408,-0.7166292932076217,-0.052229054832652326,0.008958251630133135,0.001753769944245663,0.6666664060809966,0.7499999474103731,0.7142856164277768,0
16,20-2-2023_15:19:12:301405,paved,sudden-line-right,-0.30494220116555604,-0.9578951152212456,-1.128597343827933,-0.055663469880791884,0.0012768575755683007,0.008513108273695148,0.6666664060809966,0.7499999474103731,0.7142856164277768,0
17,20-2-2023_15:19:12:349434,paved,sudden-line-right,-0.9760033076783117,-0.494591396309456,-0.45908951422319155,-0.024296384898455786,0.005644728051348896,0.015025263829409996,0.6666664060809966,0.7499999474103731,0.5714280821388803,0
18,20-2-2023_15:19:12:405424,paved,sudden-line-right,-0.8172548892199678,-0.27170603911686864,-0.31742189296133405,-0.017037087519632177,0.011765856325628456,0.015726620769882686,0.6666664060809966,0.7499999474103731,0.5714280821388803,0
19,20-2-2023_15:19:12:453388,paved,sudden-line-right,-0.6122747295842588,-0.2859644827515633,-0.3679853002326616,-0.028545059934383426,0.011934683231346992,0.009868513170975392,0.5833335931515712,0.6249999737396715,0.7142856164277768,0
20,20-2-2023_15:19:12:509412,paved,sudden-line-right,-0.5119343540693226,-0.361589574658577,-1.0102243495856982,-0.03581673867092408,0.004058737073659344,0.008844296342903615,0.5833335931515712,0.6249999737396715,0.7142856164277768,0
21,20-2-2023_15:19:12:557366,paved,sudden-line-right,-0.46142014952515203,-0.4016307050320185,-1.0543161613583296,-0.05038407102149839,-0.0052111186422737175,0.0034951222864370527,0.6666664060809966,0.7499999474103731,0.5714280821388803,0
22,20-2-2023_15:19:12:613352,paved,sudden-line-right,-0.6424945523189395,-0.8958868487761111,-1.060395010786671,-0.053280914434557916,-0.0014451024414130487,0.0047863397727244735,0.6666664060809966,0.7499999474103731,0.5714280821388803,0
23,20-2-2023_15:19:12:661345,paved,sudden-line-right,-0.4108064322454964,-1.385382307860637,-1.1261813814453756,-0.04745054936712692,-0.002168597759062736,0.006999988876646927,0.7500007804779579,0.6249999737396715,0.8571431507166734,0
24,20-2-2023_15:19:12:717339,paved,sudden-line-right,-0.6685912648149759,-1.1565654647935117,-0.5831184813240793,-0.015880240121695047,-0.003931453435057863,0.007725324606747983,0.7500007804779579,0.6249999737396715,0.8571431507166734,0
25,20-2-2023_15:19:12:765331,paved,sudden-line-right,-0.7786638935084693,-0.7419113803173101,-0.23479887745414912,-0.02097435649652928,0.009295465098418882,0.00545620493562944,0.5833335931515712,0.5000001051792541,0.4285712328555524,0
26,20-2-2023_15:19:12:821324,paved,sudden-line-right,-0.2501827359159552,-0.49564218024989565,-0.05236109182108184,-0.037419389136766,-0.008520265622295279,0.0038174123846827154,0.5833335931515712,0.5000001051792541,0.4285712328555524,0
27,20-2-2023_15:19:12:869379,paved,sudden-line-right,0.1331483374126216,-0.9754986850330654,-0.6525302038915125,-0.05093377308185899,-0.02370657769438087,0.004175718177479786,0.5833335931515712,0.8749999737741565,0.5714280821388803,0
28,20-2-2023_15:19:12:925326,paved,sudden-line-right,-0.2994445641447906,-0.820831449009099,-0.80375719579345,-0.055219193937700015,-0.0018362034898384248,0.003576897671240693,0.5833335931515712,0.8749999737741565,0.5714280821388803,0
29,20-2-2023_15:19:12:973369,paved,sudden-line-right,-0.6144585406926277,-0.7383993077802584,-0.44696818267558025,-0.033942524384670214,0.012405141066838574,0.008215202699372363,0.5833335931515712,0.6249999737396715,0.5714280821388803,0
30,20-2-2023_15:19:13:31395,paved,sudden-line-right,-0.6338220491180144,-0.3526126801913646,-0.2697104039800935,-0.028919374664271278,0.0010941080177936952,0.009914069956637152,0.5833335931515712,0.6249999737396715,0.5714280821388803,0
