sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,22-3-2023 20:18:3:824346,paved,sudden-right-turn,0.15622288644348903,-0.31521873145972695,-0.1673081565103381,-0.05302812886403834,-0.03676841818908969,0.0025554153750389046,0.7619048196437861,0.05263156537740024,0.6250000985633295,0
2,22-3-2023 20:18:4:183272,paved,sudden-right-turn,0.12465390067460393,-0.41622738141863774,-0.16177045623062772,-0.051120525648592055,-0.03450912286356123,0.0027378053256326227,0.7619048196437861,0.05263156537740024,0.6250000985633295,0
3,22-3-2023 20:18:4:188010,paved,sudden-right-turn,0.08119469105108751,-0.38734665545905383,0.09773345426431887,-0.048734917858426346,-0.028721093277767312,0.0042837071084504625,0.8095238129202228,0.10526313075480045,0.6250000985633295,0
4,22-3-2023 20:18:4:196009,paved,sudden-right-turn,0.06941388975583919,-0.5144282890052276,0.11987186955395857,-0.04839401164518763,-0.011618246563475366,0.0030901888026074608,0.8095238129202228,0.10526313075480045,0.6250000985633295,0
5,22-3-2023 20:18:4:228008,paved,sudden-right-turn,-0.041273420945748276,-0.6650681647290199,0.025730224618003297,-0.07043986909853403,-0.00812672211416458,0.0029142438845876795,0.8571429131836749,0.07894732658031736,0.6250000985633295,0
6,22-3-2023 20:18:4:228008,paved,sudden-right-turn,-0.08795006551565882,-1.2809896029874461,0.10288552539485585,-0.054597515198614006,-0.01680996859455471,0.0036048049370717575,0.8571429131836749,0.07894732658031736,0.6250000985633295,0
7,22-3-2023 20:18:4:236004,paved,sudden-right-turn,-0.1776470710690114,-1.4931901473255522,0.49919397403145793,-0.05633226423279573,-0.010520281663526854,0.004556619747374582,0.9047620491094651,0.10526313075480045,0.4999999436780971,0
8,22-3-2023 20:18:4:244003,paved,sudden-right-turn,-0.27014711565997535,-1.5947085844562205,0.1252798560171421,-0.07200706358448275,-0.014054464758261071,0.0014995111835621414,0.9047620491094651,0.10526313075480045,0.4999999436780971,0
9,22-3-2023 20:18:4:244003,paved,sudden-right-turn,-0.22314877084075208,-1.8159065027459231,0.16371932860147398,-0.062246825140170534,0.007936548342195968,1.7911943837881994e-05,0.8571429131836749,0.07894732658031736,0.6250000985633295,0
10,22-3-2023 20:18:4:252002,paved,sudden-right-turn,-0.22099458473136355,-1.849813435280039,0.2666459607757587,-0.054504074358943805,-0.018550282501874363,0.0042154088028019294,0.8571429131836749,0.07894732658031736,0.6250000985633295,0
11,22-3-2023 20:18:4:276049,paved,sudden-right-turn,-0.3978531329439766,-1.76695771707608,0.2322047418886829,-0.07431186808328027,-0.0027329281515150877,0.003254374145189863,0.8571429131836749,0.07894732658031736,0.37500012672428096,0
12,22-3-2023 20:18:4:318235,paved,sudden-right-turn,-0.26185949818514404,-1.8571144274063807,0.374745384355325,-0.06824824911023195,-0.008449633708105607,0.0016633297279773406,0.8571429131836749,0.07894732658031736,0.37500012672428096,0
13,22-3-2023 20:18:4:366240,paved,sudden-right-turn,-0.21140195123358527,-1.8210329515551489,0.3578559516299861,-0.058680388212851944,-0.007656282188392113,0.001554256600013644,0.7142857550426726,0.10526313075480045,0.37500012672428096,0
14,22-3-2023 20:18:4:414270,paved,sudden-right-turn,-0.289256578213116,-1.8269106939117525,0.06666513868975288,-0.07663843082591985,0.007887956911090932,0.003007411673725809,0.7142857550426726,0.10526313075480045,0.37500012672428096,0
15,22-3-2023 20:18:4:462222,paved,sudden-right-turn,-0.3270689369557074,-1.9589601695300847,0.31461942210348776,-0.059709332682047644,-0.011843204480831105,0.0010312040455833869,0.8095238129202228,0.07894732658031736,0.4999999436780971,0
16,22-3-2023 20:18:4:502215,paved,sudden-right-turn,-0.3593629868623671,-1.8945082566461897,0.4338324810938479,-0.05933192319594672,0.01626120905002667,0.0008057007028831361,0.8095238129202228,0.07894732658031736,0.4999999436780971,0
17,22-3-2023 20:18:4:550210,paved,sudden-right-turn,-0.38210060917037625,-2.1414169196860606,0.3119087771393031,-0.06508872073792876,-0.04906525328994312,0.0012950056416494039,0.8095238129202228,0.05263156537740024,0.6250000985633295,0
18,22-3-2023 20:18:4:590249,paved,sudden-right-turn,-0.2988775765479494,-2.300326027518529,0.17070008875737308,-0.09238858044563869,-0.014121565589572296,-0.0058042179464843895,0.8095238129202228,0.05263156537740024,0.6250000985633295,0
