sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,22-3-2023 19:0:31:877019,paved,sudden-acc,-0.42013791242019166,-1.374607338205155,0.23705720497910673,-0.02793903105968761,0.01850563539571196,0.016138714382753657,0.5714278975063379,0.5714284847401403,0.5000003781712731,0
2,22-3-2023 19:0:32:223581,paved,sudden-acc,-0.5055213378505045,-0.9984940009623494,-0.11848460162905008,-0.04281146513767116,0.023079521789248287,0.02390125136814139,0.5714278975063379,0.5714284847401403,0.5000003781712731,0
3,22-3-2023 19:0:32:235936,paved,sudden-acc,-0.06213661569196921,-1.0239797192182412,0.41258522184635327,-0.03609206535348394,0.03131860633240126,0.021820193605922064,0.7142870224876948,0.5714284847401403,0.6666671708950312,0
4,22-3-2023 19:0:32:235936,paved,sudden-acc,-0.8196995819030277,-1.3726827832895965,0.7342777803037716,-0.03198401631856945,0.018638165834931164,0.030473713413967686,0.7142870224876948,0.5714284847401403,0.6666671708950312,0
5,22-3-2023 19:0:32:253061,paved,sudden-acc,-0.3805679881402384,-1.5059584651281475,1.2743136937167168,-0.03965307887407673,0.021614472026589674,0.025431837931942508,0.5714278975063379,0.2857144850976782,0.8333332072762418,0
6,22-3-2023 19:0:32:261070,paved,sudden-acc,-0.8292953676262658,-1.2609312829742862,-1.2457933532085028,-0.07251974175908474,0.061920985429877826,0.034876081867948376,0.5714278975063379,0.2857144850976782,0.8333332072762418,0
7,22-3-2023 19:0:32:261070,paved,sudden-acc,-0.679901268368956,-1.7739483779212692,-1.6633119514346515,-0.05918516480873457,0.01770791430677983,0.03203844960650136,0.7142870224876948,0.2857144850976782,0.33333358544751496,0
8,22-3-2023 19:0:32:269066,paved,sudden-acc,-0.2398977656535582,-2.297824897743359,-1.5271480852410304,-0.06945185430602503,0.037334124806060666,0.027194878146871673,0.7142870224876948,0.2857144850976782,0.33333358544751496,0
9,22-3-2023 19:0:32:277065,paved,sudden-acc,-0.17965465761719926,-2.9888304201707148,-1.1084217909230054,-0.06337244055869035,0.044502503121000694,0.03458501751615605,0.5714278975063379,0.5714284847401403,0.16666754906630438,0
10,22-3-2023 19:0:32:285084,paved,sudden-acc,-0.17693070200794503,-2.3831066174598687,0.08659794785099062,-0.035595761180408275,0.0008425005671535563,0.03105695170177927,0.5714278975063379,0.5714284847401403,0.16666754906630438,0
