sr_no,timestamp,road_type,harsh_event,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,event_class
1,28-2-2023_16:3:23:442849,paved,uniform-accel,-0.1863560117557044,-1.946838059065785,-1.0831544220337728,-0.0839784142672874,-0.0035769516103417455,-0.004181045408809812,0.40000019071443466,0.7142858738530917,0.5555553175927331,0
2,28-2-2023_16:3:23:832886,paved,uniform-accel,-0.19739350098082223,-1.8410342860695492,-1.0232533287824734,-0.07933348050645023,-0.0001159962399715584,-0.0038532938640530026,0.40000019071443466,0.7142858738530917,0.5555553175927331,0
3,28-2-2023_16:3:23:848095,paved,uniform-accel,-0.22544606429200895,-1.4526616096890057,-0.5682249509541358,-0.06686483854512852,0.0018315021978609273,-0.00021367548133746552,0.40000019071443466,0.8571430483896669,0.22222169881631937,0
4,28-2-2023_16:3:23:848095,paved,uniform-accel,-0.13531571177973828,-1.7666769539115437,-1.1296701903834285,-0.08915849023091459,-0.0027684638013906007,-0.0012619022125476542,0.40000019071443466,0.8571430483896669,0.22222169881631937,0
5,28-2-2023_16:3:23:856094,paved,uniform-accel,-0.31757665633808196,-1.4147474876507793,-0.8328154325337456,-0.079175928963641,0.0018755286209335563,0.002624017356892748,0.40000019071443466,0.7142858738530917,0.44444382551649597,0
6,28-2-2023_16:3:23:872091,paved,uniform-accel,-0.18777850010508473,-1.3096920790594566,-0.630052888775912,-0.07896500903354212,0.0009227368261536785,0.0011060111733902306,0.40000019071443466,0.7142858738530917,0.44444382551649597,0
7,28-2-2023_16:3:23:872091,paved,uniform-accel,-0.06083772591257172,-1.733657168107411,-1.3040515019353698,-0.09498266546760407,-0.0007704539328683753,-0.003468234623553562,0.4999995219625017,0.8571430483896669,0.5555553175927331,0
8,28-2-2023_16:3:23:880091,paved,uniform-accel,-0.20265433371734898,-0.9628274605049928,-0.5757712688314791,-0.062354571269480866,0.0047950930304319055,0.0008215651749735797,0.4999995219625017,0.8571430483896669,0.5555553175927331,0
9,28-2-2023_16:3:23:888089,paved,uniform-accel,-0.25772689766661255,-0.9966973321074706,-0.31858605918365623,-0.06199867210552511,0.003346280924066106,-0.0014440808542552268,0.1999996173197208,0.7142858738530917,0.6666663812235853,0
10,28-2-2023_16:3:23:904106,paved,uniform-accel,-0.26970817219073695,-0.9912635772476737,-0.8797293494520944,-0.08298339356014883,0.0002969977087350561,-0.0029134790648124563,0.1999996173197208,0.7142858738530917,0.6666663812235853,0
11,28-2-2023_16:3:23:960131,paved,uniform-accel,-0.2180762688230446,-0.5761138972880839,0.07098640330934214,-0.04898073059391115,0.0033499529847662015,0.0004783508775705785,0.40000019071443466,0.5714286990239625,0.22222169881631937,0
